TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
NYK,26,57,19,38,33.1,17.5,6.3,15.0,42.1,2.3,7.2,31.7,2.6,3.1,81.6,0.6,3.4,3.9,2.7,1.6,1.1,0.2,2.2,28.4,2,0,-1.3
DEN,23,67,37,30,34.4,17.5,6.6,13.6,48.5,2.3,5.9,39.6,2.0,2.4,82.7,0.6,2.1,2.6,2.9,1.8,1.8,0.2,1.8,29.3,0,0,2.6
MIA,32,75,39,36,31.7,17.3,6.5,14.3,45.0,1.5,4.0,37.0,2.9,3.6,80.1,0.7,3.4,4.1,4.8,2.2,0.8,0.2,2.4,30.2,3,0,0.3
MEM,33,73,21,52,33.0,17.2,5.9,14.2,42.0,1.5,4.4,34.1,3.8,4.6,83.4,1.1,7.0,8.1,4.2,2.7,0.7,1.4,2.5,36.9,25,1,-4.3
PHI,34,70,45,25,30.2,17.1,5.8,12.6,46.0,2.8,6.6,42.0,2.8,3.1,90.4,0.1,2.4,2.5,3.0,1.5,0.5,0.1,1.8,25.0,0,0,4.4
MEM,30,12,7,5,31.1,17.1,5.3,14.0,38.1,2.0,6.4,31.2,4.4,5.5,80.3,0.0,2.3,2.3,4.1,1.5,1.0,0.3,2.0,28.2,0,0,-1.4
CHI,23,24,9,15,27.3,16.7,5.7,14.8,38.3,1.8,5.1,34.1,3.6,4.5,81.3,0.4,3.5,3.9,3.0,1.8,1.0,0.2,2.3,27.6,0,0,-7.2
DEN,21,81,46,35,31.7,16.7,5.9,13.1,45.1,2.0,5.4,37.8,2.8,3.1,90.5,1.0,2.7,3.7,3.4,2.1,1.0,0.3,2.1,28.0,1,0,2.8
CHA,32,81,35,46,30.4,16.6,6.2,11.2,55.5,0.0,0.1,14.3,4.1,7.2,57.4,3.1,9.3,12.5,1.3,2.6,0.6,1.6,3.1,37.6,53,0,1.1
ORL,27,57,17,40,29.5,16.5,7.0,14.7,47.5,1.1,3.6,31.4,1.4,1.6,81.9,1.8,7.4,9.2,3.4,1.9,1.0,1.1,2.5,36.8,29,1,-0.6
TOR,32,78,57,21,32.2,16.2,5.2,12.1,42.7,3.1,7.6,39.9,2.9,3.3,85.4,0.8,4.7,5.6,6.9,2.3,1.1,0.2,2.5,34.9,23,3,5.1
SAS,27,9,5,4,23.3,16.2,5.8,12.3,46.8,1.2,3.9,31.4,3.4,4.2,81.6,0.7,4.0,4.7,2.3,1.8,2.0,1.0,1.0,32.5,0,0,1.9
OKC,34,78,46,32,32.1,16.2,6.1,15.0,40.4,2.2,6.1,35.7,1.9,2.5,76.7,0.9,4.9,5.8,1.3,1.3,0.6,0.6,2.5,27.5,6,0,3.5
LAL,23,82,35,47,26.7,16.1,6.1,11.0,55.8,0.1,0.5,22.2,3.7,5.2,71.8,2.2,5.8,8.0,2.6,2.6,0.5,0.5,3.3,30.2,28,1,-1.0
LAL,22,77,34,43,31.2,16.1,6.1,13.5,45.0,2.1,5.6,36.6,1.9,2.7,70.7,1.1,5.1,6.3,1.8,1.8,0.6,0.4,2.1,27.8,17,0,-1.6
LAL,20,59,27,32,33.5,16.1,6.1,12.9,47.0,0.7,1.8,39.0,3.3,4.8,68.1,1.0,4.4,5.3,3.9,2.5,0.8,0.7,2.8,30.3,6,0,-2.2
PHI,21,81,51,30,33.7,15.8,6.7,12.3,54.5,0.0,0.1,0.0,2.4,4.2,56.0,1.8,6.3,8.1,8.2,3.4,1.7,0.9,2.6,42.1,38,12,4.8
DEN,27,81,46,35,33.1,15.7,5.7,12.7,45.2,1.9,5.2,37.0,2.2,2.8,80.5,0.9,4.2,5.0,4.1,1.8,1.0,0.6,2.1,31.0,2,0,1.5
NOP,27,55,34,21,27.2,15.6,5.6,12.4,44.7,2.5,6.5,37.7,2.0,2.5,81.8,1.1,6.3,7.4,1.5,1.1,0.8,0.7,2.0,30.0,12,0,2.7
BKN,22,48,16,32,25.7,15.5,5.8,14.0,41.4,1.9,5.8,32.4,2.0,2.7,74.0,0.6,3.3,3.9,5.2,3.1,0.8,0.4,1.9,28.2,5,1,-3.8
LAC,29,21,11,10,32.0,15.3,4.9,12.2,39.8,1.7,5.3,32.4,3.9,4.1,93.1,0.4,4.4,4.8,2.0,1.2,0.6,0.5,1.4,25.9,0,0,0.5
CHI,21,68,23,45,29.7,15.2,5.5,12.7,43.4,2.1,5.9,36.2,2.1,2.4,84.3,1.2,6.3,7.5,1.2,1.2,0.6,0.6,1.5,28.2,14,0,-5.7
DAL,20,69,22,47,29.7,15.2,5.9,14.8,39.5,1.5,4.9,31.3,1.9,2.8,69.4,0.7,3.0,3.8,5.2,2.8,1.0,0.3,2.2,28.6,6,1,-4.7
LAL,29,32,15,17,26.9,15.2,4.9,13.2,37.3,1.7,5.9,29.3,3.7,4.1,89.3,0.5,1.6,2.1,4.8,3.0,0.5,0.1,1.8,23.6,0,0,-3.7
LAC,25,61,30,31,33.7,15.1,5.6,13.2,42.4,2.2,5.9,37.8,1.7,2.6,64.2,0.4,1.9,2.4,4.0,1.8,1.2,0.3,2.5,26.5,0,0,-1.0
DET,24,78,37,41,33.7,15.0,6.0,11.3,52.9,0.0,0.1,0.0,3.1,5.1,60.5,5.1,10.9,16.0,3.0,2.6,1.5,1.6,3.2,45.5,62,0,-0.7
WAS,25,77,42,35,31.6,14.7,5.8,11.5,50.3,1.8,4.1,44.1,1.4,1.7,82.8,1.3,5.1,6.4,2.0,1.0,1.5,0.5,2.0,30.6,13,0,3.7
CLE,25,60,29,31,26.9,14.7,5.4,12.5,42.9,2.1,5.6,38.1,1.9,2.2,86.0,0.4,2.4,2.8,1.6,1.2,0.8,0.2,1.8,22.1,0,0,-1.2
