PLAYER,SALARY
'Semi Ojeleye',"$1,291,892"
'Livio Jean-Charles',"$1,242,240"
'Bobby Brown',"$1,231,500"
'Frank Mason',"$1,184,385"
'Abdel Nader',"$1,167,333"
'Isaiah Canaan',"$1,113,863"
'Damyean Dotson',"$1,100,000"
'Andrew Bogut',"$1,078,810"
'Wes Iwundu',"$1,050,000"
'Justin Hamilton',"$1,000,000"
'Festus Ezeli',"$1,000,000"
'Gerald Henderson',"$1,000,000"
'CJ Watson',"$1,000,000"
'Damien Wilkins',"$992,696"
'Ivan Rabb',"$950,000"
'Rade Zagorac',"$950,000"
'Ike Anigbogu',"$950,000"
'Jason Thompson',"$893,333"
b""Royce O'Neale""","$815,615"
'Alfonzo McKinnie',"$815,615"
'Brandon Paul',"$815,615"
'Davon Reed',"$815,615"
'Khem Birch',"$815,615"
'Dakari Johnson',"$815,615"
'Frank Jackson',"$815,615"
'Sterling Brown',"$815,615"
'Dillon Brooks',"$815,615"
'Thomas Bryant',"$815,615"
'Sindarius Thornwell',"$815,615"
'Jawun Evans',"$815,615"
'Zhou Qi',"$815,615"
'Jordan Bell',"$815,615"
'Maxi Kleber',"$815,615"
'Dwayne Bacon',"$815,615"
'Daniel Theis',"$815,615"
'Tyler Dorsey',"$815,615"
'Emeka Okafor',"$813,293"
'Trey Burke',"$784,160"
'Alex Poythress',"$778,668"
'Dwight Buycks',"$748,160"
'Joel Bolomboy',"$708,200"
'Kyle Collinsworth',"$595,702"
'Jeff Withey',"$593,780"
'Kay Felder',"$549,616"
'Leandro Barbosa',"$500,000"
'Michael Gbinije',"$500,000"
'Derrick Jones',"$460,625"
'Nicolas Brussino',"$393,041"
'Antonius Cleveland',"$384,116"
'Brandon Jennings',"$380,830"
'Demetrius Jackson',"$317,016"
'Travis Wear',"$304,051"
'Cameron Oliver',"$300,000"
'Shaquille Harrison',"$230,399"
'Larry Drew II',"$222,474"
'Jaylen Morris',"$198,143"
'Nigel Hayes',"$193,532"
'David Stockton',"$192,812"
'Quinn Cook',"$189,832"
'Georges Niang',"$175,000"
'Aaron Harrison',"$174,570"
'Omari Johnson',"$170,495"
'Naz Long',"$167,158"
'Jarell Eddie',"$166,256"
'Rodney Purvis',"$165,887"
'Mike James',"$162,552"
'Briante Weber',"$158,128"
'Marquis Teague',"$157,944"
'Jeremy Evans',"$154,059"
'Gary Payton II',"$150,000"
'Carrick Felix',"$140,901"
'Damion Lee',"$138,239"
'Kendrick Perkins',"$131,562"
'Milton Doyle',"$125,000"
'Brandon Rush',"$119,601"
'Ty Lawson',"$119,009"
'Derrick Williams',"$104,059"
'KJ McDaniels',"$100,000"
'Tim Quarterman',"$96,406"
'Josh Gray',"$92,159"
'Walter Lemon Jr',"$92,159"
'Jaylen Johnson',"$87,551"
'MarShon Brooks',"$86,118"
'CJ Fair',"$82,943"
'Devin Robinson',"$75,000"
'Michael Young',"$75,000"
'Erik McCree',"$75,000"
'Nate Wolters',"$75,000"
'Eric Griffin',"$75,000"
'Lorenzo Brown',"$75,000"
'Malcolm Miller',"$75,000"
'Matt Costello',"$75,000"
'Darrun Hilliard',"$75,000"
'Jack Cooley',"$75,000"
'JaKarr Sampson',"$75,000"
